#Opt	Id	Name	Type	IP	Offset	Binary
-	0x01	fsbl-boot	Binary	none	0x0	arm-trusted-firmware/tf-a-stm32mp157c-ev1-usb.stm32
-	0x03	fip-boot	FIP	none	0x0	fip/fip-stm32mp157c-ev1-trusted.bin
P	0x04	fsbl1	Binary	mmc1	boot1	arm-trusted-firmware/tf-a-stm32mp157c-ev1-emmc.stm32
P	0x05	fsbl2	Binary	mmc1	boot2	arm-trusted-firmware/tf-a-stm32mp157c-ev1-emmc.stm32
P	0x06	metadata1	Binary	mmc1	0x00080000	arm-trusted-firmware/metadata.bin
P	0x07	metadata2	Binary	mmc1	0x00100000	arm-trusted-firmware/metadata.bin
P	0x08	fip-a	FIP	mmc1	0x00180000	fip/fip-stm32mp157c-ev1-trusted.bin
PED	0x09	fip-b	FIP	mmc1	0x00580000	none
PED	0x0A	u-boot-env	Binary	mmc1	0x00980000	none
P	0x10	bootfs	System	mmc1	0x00A00000	st-image-bootfs-openstlinux-weston-stm32mp1.ext4
P	0x11	vendorfs	FileSystem	mmc1	0x04A00000	st-image-vendorfs-openstlinux-weston-stm32mp1.ext4
P	0x12	rootfs	FileSystem	mmc1	0x05A00000	st-image-weston-openstlinux-weston-stm32mp1.ext4
P	0x13	userfs	FileSystem	mmc1	0x33A00000	st-image-userfs-openstlinux-weston-stm32mp1.ext4
